,Unnamed: 0,image_path,detection,left,right,answer,result
0,0,E:\CRNN/yolov5-master\runs\detect\exp39\crops\equation/1.jpg,2005700=10,2005700,10,2005700,false
1,1,E:\CRNN/yolov5-master\runs\detect\exp39\crops\equation/110.jpg,50+600=650,50+600,650,650.0,right
2,2,E:\CRNN/yolov5-master\runs\detect\exp39\crops\equation/111.jpg,5840+70=650,5840+70,650,5910.0,false
3,3,E:\CRNN/yolov5-master\runs\detect\exp39\crops\equation/112.jpg,320+120=440,320+120,440,440.0,right
4,4,E:\CRNN/yolov5-master\runs\detect\exp39\crops\equation/113.jpg,400+600=1000,400+600,1000,1000.0,right
5,5,E:\CRNN/yolov5-master\runs\detect\exp39\crops\equation/114.jpg,500+210=710,500+210,710,710.0,right
6,6,E:\CRNN/yolov5-master\runs\detect\exp39\crops\equation/115.jpg,240+30=270,240+30,270,270.0,right
7,7,E:\CRNN/yolov5-master\runs\detect\exp39\crops\equation/116.jpg,260+70=350,260+70,350,330.0,false
8,8,E:\CRNN/yolov5-master\runs\detect\exp39\crops\equation/117.jpg,40+90=130,40+90,130,130.0,right
9,9,E:\CRNN/yolov5-master\runs\detect\exp39\crops\equation/118.jpg,430-50=380,430-50,380,380.0,right
10,10,E:\CRNN/yolov5-master\runs\detect\exp39\crops\equation/119.jpg,300+500=800,300+500,800,800.0,right
11,11,E:\CRNN/yolov5-master\runs\detect\exp39\crops\equation/12.jpg,800-60=740,800-60,740,740.0,right
12,12,E:\CRNN/yolov5-master\runs\detect\exp39\crops\equation/120.jpg,240-80=160,240-80,160,160.0,right
13,13,E:\CRNN/yolov5-master\runs\detect\exp39\crops\equation/121.jpg,220+100=320,220+100,320,320.0,right
14,14,E:\CRNN/yolov5-master\runs\detect\exp39\crops\equation/122.jpg,360+90=450,360+90,450,450.0,right
15,15,E:\CRNN/yolov5-master\runs\detect\exp39\crops\equation/123.jpg,240+80=320,240+80,320,320.0,right
16,16,E:\CRNN/yolov5-master\runs\detect\exp39\crops\equation/124.jpg,380+60=440,380+60,440,440.0,right
17,17,E:\CRNN/yolov5-master\runs\detect\exp39\crops\equation/125.jpg,680+90=770,680+90,770,770.0,right
18,18,E:\CRNN/yolov5-master\runs\detect\exp39\crops\equation/126.jpg,700-520=180,700-520,180,180.0,right
19,19,E:\CRNN/yolov5-master\runs\detect\exp39\crops\equation/127.jpg,600-40=560,600-40,560,560.0,right
20,20,E:\CRNN/yolov5-master\runs\detect\exp39\crops\equation/128.jpg,510+120=630,510+120,630,630.0,right
21,21,E:\CRNN/yolov5-master\runs\detect\exp39\crops\equation/129.jpg,600+700=1300,600+700,1300,1300.0,right
22,22,E:\CRNN/yolov5-master\runs\detect\exp39\crops\equation/13.jpg,50+40=90,50+40,90,90.0,right
23,23,E:\CRNN/yolov5-master\runs\detect\exp39\crops\equation/130.jpg,500-300=200,500-300,200,200.0,right
24,24,E:\CRNN/yolov5-master\runs\detect\exp39\crops\equation/131.jpg,900-300=600,900-300,600,600.0,right
25,25,E:\CRNN/yolov5-master\runs\detect\exp39\crops\equation/14.jpg,450+210=660,450+210,660,660.0,right
26,26,E:\CRNN/yolov5-master\runs\detect\exp39\crops\equation/15.jpg,220+60=280,220+60,280,280.0,right
27,27,E:\CRNN/yolov5-master\runs\detect\exp39\crops\equation/16.jpg,700-70=630,700-70,630,630.0,right
28,28,E:\CRNN/yolov5-master\runs\detect\exp39\crops\equation/17.jpg,560+70=600,560+70,600,630.0,false
29,29,E:\CRNN/yolov5-master\runs\detect\exp39\crops\equation/18.jpg,490+20=510,490+20,510,510.0,right
30,30,E:\CRNN/yolov5-master\runs\detect\exp39\crops\equation/19.jpg,250-90=160,250-90,160,160.0,right
